"Method","E_const","DP_const","R_const","Threads","Attempt","Image","Time"
seam-carving-omp-opt,1,1000,10000,16,0,3840x2160.png, 8.530149 s
seam-carving-omp-opt,1,1000,10000,16,0,test.png, 0.670612 s
seam-carving-omp-opt,1,5000,1,16,0,valve.png, 0.159906 s
seam-carving-omp-opt,1,5000,1,16,0,720x480.png, 0.190028 s
seam-carving-omp-opt,1,5000,1,16,0,7680x4320.png, 15.267790 s
seam-carving-omp-opt,1,5000,1,16,0,1920x1200.png, 1.091082 s
seam-carving-omp-opt,1,5000,1,16,0,1024x768.png, 0.391256 s
seam-carving-omp-opt,1,5000,1,16,0,3840x2160.png, 3.917483 s
seam-carving-omp-opt,1,5000,1,16,0,test.png, 0.335184 s
seam-carving-omp-opt,1,5000,100,16,0,valve.png, 0.243174 s
seam-carving-omp-opt,1,5000,100,16,0,720x480.png, 0.297294 s
seam-carving-omp-opt,1,5000,100,16,0,7680x4320.png, 15.389524 s
seam-carving-omp-opt,1,5000,100,16,0,1920x1200.png, 1.042794 s
seam-carving-omp-opt,1,5000,100,16,0,1024x768.png, 0.475896 s
seam-carving-omp-opt,1,5000,100,16,0,3840x2160.png, 3.761583 s
seam-carving-omp-opt,1,5000,100,16,0,test.png, 0.403558 s
seam-carving-omp-opt,1,5000,500,16,0,valve.png, 0.309945 s
seam-carving-omp-opt,1,5000,500,16,0,720x480.png, 0.372648 s
seam-carving-omp-opt,1,5000,500,16,0,7680x4320.png, 16.141652 s
seam-carving-omp-opt,1,5000,500,16,0,1920x1200.png, 1.324754 s
seam-carving-omp-opt,1,5000,500,16,0,1024x768.png, 0.803454 s
seam-carving-omp-opt,1,5000,500,16,0,3840x2160.png, 4.989675 s
seam-carving-omp-opt,1,5000,500,16,0,test.png, 0.673004 s
seam-carving-omp-opt,1,5000,700,16,0,valve.png, 0.306732 s
seam-carving-omp-opt,1,5000,700,16,0,720x480.png, 0.377967 s
seam-carving-omp-opt,1,5000,700,16,0,7680x4320.png, 16.939893 s
seam-carving-omp-opt,1,5000,700,16,0,1920x1200.png, 1.495365 s
seam-carving-omp-opt,1,5000,700,16,0,1024x768.png, 0.796114 s
seam-carving-omp-opt,1,5000,700,16,0,3840x2160.png, 5.432457 s
seam-carving-omp-opt,1,5000,700,16,0,test.png, 0.644929 s
seam-carving-omp-opt,1,5000,1000,16,0,valve.png, 0.308209 s
seam-carving-omp-opt,1,5000,1000,16,0,720x480.png, 0.381624 s
seam-carving-omp-opt,1,5000,1000,16,0,7680x4320.png, 18.121289 s
seam-carving-omp-opt,1,5000,1000,16,0,1920x1200.png, 1.493561 s
seam-carving-omp-opt,1,5000,1000,16,0,1024x768.png, 0.792648 s
seam-carving-omp-opt,1,5000,1000,16,0,3840x2160.png, 6.562894 s
seam-carving-omp-opt,1,5000,1000,16,0,test.png, 0.639362 s
seam-carving-omp-opt,1,5000,5000,16,0,valve.png, 0.317269 s
seam-carving-omp-opt,1,5000,5000,16,0,720x480.png, 0.374502 s
seam-carving-omp-opt,1,5000,5000,16,0,7680x4320.png, 28.909777 s
seam-carving-omp-opt,1,5000,5000,16,0,1920x1200.png, 1.543495 s
seam-carving-omp-opt,1,5000,5000,16,0,1024x768.png, 0.819548 s
seam-carving-omp-opt,1,5000,5000,16,0,3840x2160.png, 9.249002 s
seam-carving-omp-opt,1,5000,5000,16,0,test.png, 0.627413 s
seam-carving-omp-opt,1,5000,10000,16,0,valve.png, 0.324363 s
seam-carving-omp-opt,1,5000,10000,16,0,720x480.png, 0.376180 s
seam-carving-omp-opt,1,5000,10000,16,0,7680x4320.png, 28.971656 s
seam-carving-omp-opt,1,5000,10000,16,0,1920x1200.png, 1.489510 s
seam-carving-omp-opt,1,5000,10000,16,0,1024x768.png, 0.787642 s
seam-carving-omp-opt,1,5000,10000,16,0,3840x2160.png, 9.415378 s
seam-carving-omp-opt,1,5000,10000,16,0,test.png, 0.636996 s
seam-carving-omp-opt,1,10000,1,16,0,valve.png, 0.151607 s
seam-carving-omp-opt,1,10000,1,16,0,720x480.png, 0.186999 s
seam-carving-omp-opt,1,10000,1,16,0,7680x4320.png, 15.100339 s
seam-carving-omp-opt,1,10000,1,16,0,1920x1200.png, 0.982379 s
seam-carving-omp-opt,1,10000,1,16,0,1024x768.png, 0.392805 s
seam-carving-omp-opt,1,10000,1,16,0,3840x2160.png, 3.845673 s
seam-carving-omp-opt,1,10000,1,16,0,test.png, 0.336954 s
seam-carving-omp-opt,1,10000,100,16,0,valve.png, 0.239494 s
seam-carving-omp-opt,1,10000,100,16,0,720x480.png, 0.291451 s
seam-carving-omp-opt,1,10000,100,16,0,7680x4320.png, 15.108963 s
seam-carving-omp-opt,1,10000,100,16,0,1920x1200.png, 1.032870 s
seam-carving-omp-opt,1,10000,100,16,0,1024x768.png, 0.474904 s
seam-carving-omp-opt,1,10000,100,16,0,3840x2160.png, 3.723844 s
seam-carving-omp-opt,1,10000,100,16,0,test.png, 0.401820 s
seam-carving-omp-opt,1,10000,500,16,0,valve.png, 0.308424 s
seam-carving-omp-opt,1,10000,500,16,0,720x480.png, 0.371167 s
seam-carving-omp-opt,1,10000,500,16,0,7680x4320.png, 16.073620 s
